rank,rankChange,symbolCode,shortCode,code,name,isNew,tradePrice,change,changePrice,changeRate,signedChangeRate,accTradeVolume,accTradePrice,chartSlideImage,boardUrl
1,1,A005930,A005930,KR7005930003,삼성전자,False,56200,RISE,800,0.0144404332,0.0144404332,5781521,321787375600,,https://finance.daum.net/quotes/A005930#talks
2,-1,A035720,A035720,KR7035720002,카카오,False,38150,FALL,-500,-0.0129366106,-0.0129366106,354301,13637340750,,https://finance.daum.net/quotes/A035720#talks
3,1,A000660,A000660,KR7000660001,SK하이닉스,False,194000,FALL,-1000,-0.0051282051,-0.0051282051,1313389,254321974500,,https://finance.daum.net/quotes/A000660#talks
4,-1,A042660,A042660,KR7042660001,한화오션,False,42900,EVEN,0,0.0,0.0,3742171,159706604150,,https://finance.daum.net/quotes/A042660#talks
5,0,A000100,A000100,KR7000100008,유한양행,True,138100,RISE,16700,0.1375617792,0.1375617792,3660529,493767280500,,https://finance.daum.net/quotes/A000100#talks
6,0,A068270,A068270,KR7068270008,셀트리온,True,185800,RISE,1900,0.010331702,0.010331702,138500,25743778800,,https://finance.daum.net/quotes/A068270#talks
7,0,A082740,A082740,KR7082740002,한화엔진,True,21800,RISE,2510,0.1301192328,0.1301192328,4086917,90420640000,,https://finance.daum.net/quotes/A082740#talks
8,0,A034020,A034020,KR7034020008,두산에너빌리티,True,18490,FALL,-490,-0.0258166491,-0.0258166491,1559329,28886840120,,https://finance.daum.net/quotes/A034020#talks
9,0,A005935,A005935,KR7005931001,삼성전자우,True,46100,RISE,350,0.0076502732,0.0076502732,237761,10904825500,,https://finance.daum.net/quotes/A005935#talks
10,0,A277810,A277810,KR7277810008,레인보우로보틱스,True,236500,FALL,-5500,-0.0227272727,-0.0227272727,293774,69929185000,,https://finance.daum.net/quotes/A277810#talks
